_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes
40,240.1,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,7229.810568309287,-76.131,48.881,-125.012,89.134,-1.147,2224,1230,994,151737748.7776,151837748.7776,9.4,0.001,0.8425,1293,860
35,260.1,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,4923.382134706697,-83.746,48.881,-132.627,92.688,-1.584,2518,1399,1119,149714431.3976,149814431.3976,11.3,0.0008,0.8285,1293,860
41,242.3,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,4605.032780709866,-84.797,48.881,-133.678,91.505,-1.663,2560,1396,1164,134449449.8059,134549449.8059,18.3,-0.0032,0.9654,1175,3065
42,245.7,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,2973.860975943093,-90.182,48.881,-139.063,95.525,-2.682,3697,1979,1718,122197073.6333,122297073.6333,-0.3,0.0682,0.7876,80,47822
36,258.6,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,2956.254016305812,-90.24,48.881,-139.121,93.973,-2.157,2832,1553,1279,128864839.5406,128964839.5406,16.4,-0.0031,0.9669,1175,3065
30,302.2,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,2908.437336764421,-90.398,48.881,-139.279,94.995,-2.154,2779,1529,1250,142725874.7756,142825874.7756,7.4,0.0003,0.804,1293,860
44,246.8,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,2752.297717416166,-90.914,48.881,-139.794,93.217,-4.032,5410,2721,2689,130379697.4691,130479697.4691,10.4,0.0478,0.5459,68,97888
43,247.5,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,2533.680912878612,-91.635,48.881,-140.516,94.097,-3.034,4035,2056,1979,103686745.889,103786745.889,-0.3,0.0335,0.872,52,75181
37,260.5,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,2071.709990133978,-93.16,48.881,-142.041,96.749,-3.114,4266,2293,1973,126140112.2247,126240112.2247,2.6,0.0643,0.7635,80,47822
25,305.2,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,8760.0,524327,30290.0,2047.188463247545,-93.241,48.881,-142.122,96.23,-2.522,3194,1764,1430,138936654.1729,139036654.1729,0.3,0.0003,0.7809,1293,860
