_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
44,113.9,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,154951.10658788658,54.951,225.015,-170.064,67.801,0.974,6432,2907,3525,171374057.2009,172518973.2739,338.9,0.1609,0.8813,3,97888,0,28182.0059,100688.5427,-72506.5367,28.182,100.689,-72.507,127.458
39,132.5,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,147573.4393069706,47.573,225.015,-177.442,67.3,0.911,7341,3424,3917,193485778.7507,195005535.5896,285.6,0.1459,0.882,3,97888,0,31146.3353,109662.3556,-78516.0203,31.146,109.662,-78.516,126.089
37,131.9,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,146801.36705113892,46.801,225.015,-178.214,68.916,0.902,8495,3584,4911,310016649.189,311271227.8458,314.3,0.0798,0.9364,8,47822,0,52889.718,179121.4889,-126231.7709,52.89,179.121,-126.232,173.033
43,113.7,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,146267.393689734,46.267,225.015,-178.748,68.747,0.904,7110,2870,4240,227391680.8334,228801342.1298,339.8,0.0769,0.9219,4,75181,0,38047.7458,138780.5346,-100732.7888,38.048,138.781,-100.733,147.0
38,132.3,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,144387.2861926123,44.387,225.015,-180.628,68.895,0.887,8165,3330,4835,250513811.8552,251862094.3381,300.5,0.0818,0.916,4,75181,0,42131.2748,147847.7227,-105716.4479,42.131,147.848,-105.716,150.103
41,112.9,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,134319.56758847125,34.32,225.015,-190.696,74.948,0.785,9961,4563,5398,462053590.9376,463164943.6749,320.6,0.0301,1.0,328,3065,0,72003.1777,254184.5171,-182181.3395,72.003,254.185,-182.181,216.501
29,132.0,70,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,124828.27886080788,24.828,225.015,-200.187,66.642,0.685,10235,4688,5547,209336085.6851,210509431.1511,233.7,0.125,0.8824,3,97888,0,33909.9039,114782.0429,-80872.139,33.91,114.782,-80.872,105.7
42,113.8,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,124759.31516185468,24.759,225.015,-200.256,70.639,0.681,7658,3159,4499,232168806.7231,233433361.9649,357.2,0.0461,0.9065,8,47822,0,38102.0268,131953.5651,-93851.5383,38.102,131.954,-93.852,118.611
32,131.2,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,110564.80350614485,10.565,225.015,-214.45,73.609,0.522,9719,4200,5519,287673915.692,288917209.3564,275.6,0.0133,0.9245,8,47822,0,47117.4848,158617.8064,-111500.3216,47.117,158.618,-111.5,122.065
33,131.0,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,8760.0,524327,100000.0,103416.98226382099,3.417,225.015,-221.598,70.916,0.436,9289,4067,5222,233733818.2386,235081624.6405,276.2,0.0795,0.923,4,75181,0,38658.2572,130274.9569,-91616.6998,38.658,130.275,-91.617,95.034
