_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts
1,0.3,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,172558.92367458198,72.559,91.331,-18.772,32.902,-10.734,290,146,144,2185618.0364,2202185.0001,-69.6,0.0461,0.8098,23,47,0
4,0.4,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,169182.71783129155,69.183,91.331,-22.148,37.452,-24.008,1315,643,672,2406262.4519,2516393.7413,-82.3,0.0535,0.3766,5,631,0
9,0.4,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,165374.31918242906,65.374,91.331,-25.957,38.365,-24.107,919,452,467,2536465.407,2621116.0399,-74.6,0.0552,0.3977,5,631,0
14,0.4,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,162637.20066354205,62.637,91.331,-28.694,38.889,-23.788,702,347,355,2591140.0841,2654288.3741,-78.0,0.055,0.3927,5,631,0
6,0.3,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,162371.23698360162,62.371,91.331,-28.96,34.08,-11.51,196,98,98,2201982.6656,2226179.5862,-108.4,0.0375,0.9964,23,47,0
7,0.4,30,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,162228.59920652045,62.229,91.331,-29.103,37.94,-14.403,295,154,141,1645900.2537,1622596.0268,-125.9,-0.084,0.6055,8,366,0
19,0.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,160598.65789804366,60.599,91.331,-30.732,39.105,-23.688,562,278,284,2588815.1714,2652600.5152,-82.5,0.0572,0.4069,5,631,0
3,0.4,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,160168.21910904566,60.168,91.331,-31.163,40.424,-26.068,1069,523,546,2634245.7075,2765657.6146,-18.7,0.0505,0.4883,6,507,0
2,0.4,20,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,160086.04734891246,60.086,91.331,-31.245,39.817,-21.398,767,383,384,2916725.7828,2954670.2866,-49.9,-0.0029,0.5951,8,366,0
12,0.4,40,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,56.0,3361,100000.0,158988.86519697515,58.989,91.331,-32.342,38.038,-13.775,190,101,89,1393885.5942,1364293.2655,-191.5,-0.0951,0.6264,8,366,0
