_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
32,560.7,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,1601219.1837765612,1501.219,993.161,508.058,73.609,1.258,39578,19211,20367,745642807.5083,745442054.0803,303.0,0.0297,0.9999,32,166194,0,824098.328,2107295.613,-1283197.285,824.098,2107.296,-1283.197,2784.416
38,572.2,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,1170323.1977008714,1070.323,993.161,77.162,68.929,1.178,32964,15223,17741,549690221.1022,549504961.6275,316.5,0.0649,0.9952,20,247102,0,544106.6793,1464266.5911,-920159.9117,544.107,1464.267,-920.16,1990.483
43,476.8,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,971223.5060106404,871.224,993.161,-121.938,68.747,1.12,27903,12741,15162,492646497.1014,492848136.9008,343.6,0.054,1.0,20,247102,0,486088.7659,1333033.044,-846944.2781,486.089,1333.033,-846.944,1718.168
42,474.7,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,899329.3173775981,799.329,993.161,-193.832,70.639,1.094,28794,13692,15102,597270992.1818,598114229.1319,371.7,0.0579,0.9994,32,166194,0,654862.3788,1776791.9247,-1121929.5459,654.862,1776.792,-1121.93,1921.259
44,475.2,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,874200.0676671206,774.2,993.161,-218.961,70.972,1.103,28032,13213,14819,392476796.102,392722951.4437,353.3,0.0435,0.9909,26,306224,0,385232.8386,1197536.0786,-812303.24,385.233,1197.536,-812.303,1586.503
33,565.3,80,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,528554.9321863675,428.555,993.161,-564.606,70.916,0.93,38393,18363,20030,536042086.4421,536873597.6575,274.2,0.0679,0.9876,20,247102,0,551343.5344,1408479.1207,-857135.5863,551.344,1408.479,-857.136,1285.691
41,474.0,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,5,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,418679.3614144016,318.679,993.161,-674.482,84.222,0.861,35477,16926,18551,1311758306.3194,1313278063.1583,322.3,0.021,1.0,983,24298,0,1505517.6356,3828530.5414,-2323012.9058,1505.518,3828.531,-2323.013,2641.692
39,571.2,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,20,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,406104.41788795585,306.104,993.161,-687.057,82.131,0.845,30881,14908,15973,398632112.6617,399560225.5352,298.1,0.0517,0.9786,26,306224,0,374808.9805,1081345.8967,-706536.9162,374.809,1081.346,-706.537,1012.641
37,568.8,90,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,10,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,373442.0609672233,273.442,993.161,-719.719,82.103,0.822,33684,16054,17630,712070349.854,713205746.8025,312.2,0.0217,0.9881,32,166194,0,739532.5389,1904173.9574,-1164641.4186,739.533,1904.174,-1164.641,1438.083
40,472.4,100,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,3,5,20,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,45696.0,2083994,100000.0,323552.1486613581,223.552,993.161,-769.609,89.947,0.785,45099,21297,23802,1636590770.7097,1637639152.0407,292.6,0.0106,1.0,1507,6757,0,2390491.5708,6465360.4346,-4074868.8638,2390.492,6465.36,-4074.869,4298.421
