_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
1,20.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.0,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,73766.9864564073,-26.233,-22.002,-4.231,51.05,-1.039,6979,3577,3402,9961294.5852,9887006.0431,185.5,0.0121,0.8825,0,12330,0,10658.419,20246.7661,-9588.3471,10.658,20.247,-9.588,-16.645
0,20.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,73181.1580206781,-26.819,-22.002,-4.817,50.764,-1.08,6126,3216,2910,11497197.5528,11422003.2893,162.2,-0.0351,0.8807,0,12330,0,12295.9031,22147.4322,-9851.5291,12.296,22.147,-9.852,-16.967
2,20.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.0,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,65654.61638898468,-34.345,-22.002,-12.344,51.069,-1.626,8742,4388,4354,7407289.9932,7349269.5589,233.6,0.0174,0.875,0,12330,20,7978.8077,17414.9593,-9436.1517,7.979,17.415,-9.436,-24.909
3,19.8,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.0,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,63185.47052892155,-36.815,-22.002,-14.813,51.208,-1.688,9118,4657,4461,4698866.1296,4619704.7478,286.1,0.1952,0.869,0,12330,19604,5129.4037,15327.8244,-10198.4206,5.129,15.328,-10.198,-26.617
14,18.8,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.7,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,61776.2149273609,-38.224,-22.002,-16.222,51.772,-1.775,4843,2616,2227,5836054.5401,5760063.5872,218.5,0.1029,0.8603,0,12330,39930,6368.3924,17558.9452,-11190.5528,6.368,17.559,-11.191,-27.033
13,18.9,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.7,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,61433.92765071448,-38.566,-22.002,-16.564,52.118,-1.804,4408,2390,2018,6563890.8921,6488669.9892,198.6,0.0936,0.8678,0,12330,39930,7161.3367,18437.6607,-11276.3241,7.161,18.438,-11.276,-27.29
15,18.9,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.7,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,61361.6923698749,-38.638,-22.002,-16.637,51.689,-1.806,5629,2958,2671,4651132.2898,4576073.896,249.9,0.1326,0.8694,0,12330,39930,5081.3976,15923.7813,-10842.3837,5.081,15.924,-10.842,-27.796
12,18.8,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.7,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,60850.87918475721,-39.149,-22.002,-17.147,52.108,-1.852,4133,2262,1871,7320332.9987,7246423.791,180.3,0.0911,0.8754,0,12330,39930,8008.7957,20232.212,-12223.4163,8.009,20.232,-12.223,-26.926
9,18.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.5,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,58393.66002351484,-41.606,-22.002,-19.605,54.114,-1.99,3270,1729,1541,4812946.0836,4744564.928,231.4,0.2058,0.8609,0,12330,57246,5219.3867,16265.1391,-11045.7524,5.219,16.265,-11.046,-30.56
11,18.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.5,0.30,0.65,8,0.60,0.80,1464.0,87840,100000.0,58324.64858459984,-41.675,-22.002,-19.674,53.965,-1.99,3816,2012,1804,3823810.5791,3755584.6798,282.6,0.185,0.8724,0,12330,57246,4150.122,14391.5231,-10241.4011,4.15,14.392,-10.241,-31.434
