_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
0,30.1,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,172455.38444151182,72.455,146.854,-74.399,33.518,2.557,7331,3553,3778,14550464.119,14695969.459,164.3,-0.0165,0.9293,0,25923,0,29549.1213,72605.8092,-43056.6878,29.549,72.606,-43.057,115.512
1,30.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.0,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,169547.01083087525,69.547,146.854,-77.307,31.749,2.491,9409,4648,4761,13980032.9903,14125538.3303,181.4,0.0085,0.8932,0,25923,0,29906.9099,66924.8895,-37017.9796,29.907,66.925,-37.018,106.565
2,30.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.0,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,157161.7302825737,57.162,146.854,-89.692,31.621,2.239,10324,4679,5645,10027877.3861,10173382.7261,221.9,0.0105,0.8551,0,25923,18,21003.1716,57131.9365,-36128.7649,21.003,57.132,-36.129,93.291
8,28.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.5,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,155236.74672759813,55.237,146.854,-91.617,30.789,2.198,5794,2854,2940,9689798.5641,9835303.9042,224.2,0.0478,0.8116,0,25923,79912,21226.8069,70342.8463,-49116.0394,21.227,70.343,-49.116,104.353
12,28.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.7,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,152335.16853428606,52.335,146.854,-94.519,31.893,2.116,5663,2667,2996,10724223.2458,10869728.5858,186.0,0.0267,0.8446,0,25923,56014,22747.4518,62174.6167,-39427.1649,22.747,62.175,-39.427,91.762
3,29.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.0,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,139103.17765309024,39.103,146.854,-107.751,28.464,1.781,12604,5721,6883,7252566.7743,7398072.1143,259.7,0.0475,0.8403,0,25923,26796,15721.7636,48978.1896,-33256.426,15.722,48.978,-33.256,72.359
13,28.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.7,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,137198.7988565862,37.199,146.854,-109.655,29.219,1.729,6871,3282,3589,10423341.9356,10568847.2756,199.6,0.0515,0.8317,0,25923,56014,22346.4525,60433.7086,-38087.2561,22.346,60.434,-38.087,75.286
14,28.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.7,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,134881.19674439656,34.881,146.854,-111.973,29.611,1.663,7244,3502,3742,8924827.8027,9070333.1427,221.7,0.049,0.8131,0,25923,56014,19172.0615,54833.4913,-35661.4298,19.172,54.833,-35.661,70.542
10,28.1,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.5,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,126882.53764605633,26.883,146.854,-119.972,27.49,1.451,5807,2836,2971,7663251.7789,7808757.119,252.2,0.0466,0.7796,0,25923,79912,16549.5214,58075.7106,-41526.1892,16.55,58.076,-41.526,68.409
11,28.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.5,0.30,0.65,8,0.60,0.80,2136.0,127557,100000.0,125729.6803985212,25.73,146.854,-121.124,28.169,1.414,6334,3044,3290,6585620.4243,6731125.7643,275.3,0.043,0.7865,0,25923,79912,14226.2034,55181.6678,-40955.4643,14.226,55.182,-40.955,66.685
