_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
6,103.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.3,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,106085.85084311021,6.086,-4.767,10.853,27.605,0.929,611,305,306,1270059.2809,1399592.9596,589.2,-0.3943,0.9383,0,8551,77601,994.3756,6136.9561,-5142.5805,0.994,6.137,-5.143,11.229
5,104.8,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.3,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,104301.33221926508,4.301,-4.767,9.068,27.707,0.751,726,355,371,1817595.6774,1837015.1048,444.3,-0.1673,0.9315,0,8551,77601,1337.7696,7402.7123,-6064.9427,1.338,7.403,-6.065,10.366
1,126.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.0,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,101236.0250235356,1.236,-4.767,6.003,26.088,0.435,2435,1281,1154,5455406.1095,5471363.3637,209.4,-0.3196,0.833,0,8551,0,3957.1124,4689.5697,-732.4573,3.957,4.69,-0.732,1.968
0,125.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,101139.59219574132,1.14,-4.767,5.906,26.154,0.424,2128,1085,1043,6588861.9017,6608496.4336,188.5,-0.2824,0.8276,0,8551,0,4797.0643,5781.088,-984.0237,4.797,5.781,-0.984,2.124
3,127.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.0,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,101082.48357546075,1.082,-4.767,5.849,25.884,0.419,3562,1912,1650,2802377.667,2815478.7546,294.5,-0.3008,0.8102,0,8551,19312,2040.0511,5296.3295,-3256.2784,2.04,5.296,-3.256,4.338
2,126.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.0,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,100966.13118349922,0.966,-4.767,5.733,26.007,0.406,3273,1712,1561,4088776.6865,4106165.8812,252.0,-0.3266,0.8219,0,8551,43,2971.8688,4068.3761,-1096.5073,2.972,4.068,-1.097,2.063
15,98.0,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.7,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,100088.3297908454,0.088,-4.767,4.855,26.105,0.311,2100,1077,1023,2817958.1037,2837960.7294,310.0,-0.2965,0.8335,0,8551,38197,2046.7151,6412.2647,-4365.5496,2.047,6.412,-4.366,4.454
12,97.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.7,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,99915.02889628193,-0.085,-4.767,4.682,26.247,0.293,1460,754,706,4412765.4547,4433771.2697,215.3,-0.2884,0.8359,0,8551,38197,3198.136,7199.4297,-4001.2937,3.198,7.199,-4.001,3.916
14,97.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.7,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,99854.5174046961,-0.145,-4.767,4.621,26.155,0.286,1682,866,816,3397432.9518,3417974.8478,281.1,-0.2949,0.817,0,8551,38197,2465.9217,6699.8527,-4233.9311,2.466,6.7,-4.234,4.089
13,97.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.7,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,99509.63173221321,-0.49,-4.767,4.276,26.285,0.248,1526,800,726,3820336.8682,3838419.3309,236.2,-0.2994,0.8199,0,8551,38197,2773.2937,6762.2254,-3988.9317,2.773,6.762,-3.989,3.499
11,105.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.5,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,99404.36537399355,-0.596,-4.767,4.171,26.175,0.234,1494,752,742,2575994.1918,2594060.178,352.1,-0.2946,0.8179,0,8551,56092,1874.279,7550.857,-5676.578,1.874,7.551,-5.677,5.081
4,105.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.3,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,99394.96747959341,-0.605,-4.767,4.162,26.176,0.23,685,334,351,1610301.4581,1739835.1368,476.0,-0.4916,0.9207,0,8551,77601,1233.1674,7859.819,-6626.6516,1.233,7.86,-6.627,6.022
9,106.1,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.5,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,99344.21990233602,-0.656,-4.767,4.111,26.248,0.228,1223,617,606,3067589.3643,3087221.8406,285.7,-0.2949,0.8191,0,8551,56092,2233.4549,7780.2067,-5546.7518,2.233,7.78,-5.547,4.891
10,104.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.5,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,99198.52713197356,-0.801,-4.767,3.965,26.246,0.212,1311,657,654,2872654.491,2892999.671,330.3,-0.2993,0.8106,0,8551,56092,2090.724,7693.7485,-5603.0246,2.091,7.694,-5.603,4.802
8,104.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.5,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,99167.81797206443,-0.832,-4.767,3.935,26.382,0.209,1151,582,569,3280964.8743,3302056.3213,252.5,-0.2951,0.814,0,8551,56092,2394.104,7798.982,-5404.878,2.394,7.799,-5.405,4.573
7,104.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.3,0.30,0.65,8,0.60,0.80,1488.0,89280,100000.0,76991.95668800268,-23.008,-4.767,-18.241,36.844,-2.508,679,351,328,1325862.5479,1255528.7868,473.6,-0.0808,0.9235,0,8551,77601,953.7665,5838.5837,-4884.8171,0.954,5.839,-4.885,-18.123
