_task_idx,_elapsed_sec,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_num_levels,p_size_decay,p_spread_multiplier,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_soft_recenter_drift_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_outer_capital_fraction,p_outer_recenter_trigger_pct,p_toxicity_activation_count,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts,flair_lifetime_fee_quote,flair_lifetime_lvr_quote,flair_lifetime_net_quote,flair_fee_pct,flair_lvr_pct,flair_net_pct,return_minus_flair_net_pct
10,49.5,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.5,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,56237.63156034737,-43.762,-18.574,-25.189,58.726,-4.492,1347,735,612,34899985.105,35601633.5874,310.8,-0.1163,0.8609,0,7283,24445,2267.2835,15232.4005,-12965.117,2.267,15.232,-12.965,-30.797
15,46.3,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.7,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,55909.61033618235,-44.09,-18.574,-25.517,59.737,-4.416,1575,856,719,34245712.8826,34870476.2047,280.8,-0.0982,0.8605,0,7283,22853,2212.8678,15431.8488,-13218.981,2.213,15.432,-13.219,-30.871
3,54.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.0,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,55471.943860871834,-44.528,-18.574,-25.954,59.791,-4.435,3018,1625,1393,32607245.342,33319788.3633,293.5,-0.0224,0.9046,0,7283,15525,2105.3529,15058.968,-12953.6151,2.105,15.059,-12.954,-31.574
2,57.9,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.0,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,55258.18004233929,-44.742,-18.574,-26.168,60.024,-4.276,3439,1744,1695,46051392.5667,46795211.0177,246.1,-0.0498,0.8087,0,7283,16,2885.9915,20574.2487,-17688.2571,2.886,20.574,-17.688,-27.054
1,56.7,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.0,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,53946.66490570967,-46.053,-18.574,-27.48,60.092,-4.477,2699,1396,1303,56521281.7936,57291361.3242,222.6,-0.0313,0.8286,0,7283,0,3513.8218,24848.2952,-21334.4734,3.514,24.848,-21.334,-24.719
8,49.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.5,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,53566.31129187924,-46.434,-18.574,-27.86,59.144,-4.915,1286,665,621,36905085.9395,37478867.1271,257.1,-0.0652,0.834,0,7283,24445,2380.9374,16334.0694,-13953.132,2.381,16.334,-13.953,-32.481
9,49.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.5,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,53508.922845154055,-46.491,-18.574,-27.917,58.981,-4.893,1278,660,618,35409797.8048,35961298.8146,257.6,-0.0702,0.8373,0,7283,24445,2287.1453,15849.0055,-13561.8602,2.287,15.849,-13.562,-32.929
4,49.1,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.3,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,53355.12772314689,-46.645,-18.574,-28.071,58.682,-4.863,1229,623,606,34201068.1946,34781360.4809,283.5,-0.0116,0.8352,0,7283,25684,2244.2988,14675.324,-12431.0252,2.244,14.675,-12.431,-34.214
14,47.2,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.7,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,53313.242978044465,-46.687,-18.574,-28.113,59.903,-4.773,1440,763,677,36278700.5614,36850188.0382,228.2,-0.0982,0.8517,0,7283,22853,2344.6427,16578.0732,-14233.4305,2.345,16.578,-14.233,-32.454
12,47.9,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.7,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,53272.06038516903,-46.728,-18.574,-28.154,60.019,-4.742,1383,726,657,39295660.2867,39865957.2175,217.5,-0.0742,0.8571,0,7283,22853,2510.9864,17776.9049,-15265.9185,2.511,17.777,-15.266,-31.462
5,49.1,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.3,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,53252.193443614306,-46.748,-18.574,-28.174,58.172,-4.587,970,533,437,23624841.0568,22904986.4684,318.2,-0.0399,0.8343,0,7283,25684,1555.9069,11663.1419,-10107.235,1.556,11.663,-10.107,-36.641
13,47.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.3,0.7,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,53233.47800223959,-46.767,-18.574,-28.193,60.031,-4.757,1405,734,671,38044678.3489,38613427.2745,226.1,-0.076,0.8491,0,7283,22853,2441.0071,16991.3421,-14550.3351,2.441,16.991,-14.55,-32.217
11,49.9,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.5,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,52665.66517232424,-47.334,-18.574,-28.761,58.445,-4.984,1248,651,597,30849046.7018,31493104.6677,323.3,-0.052,0.8338,0,7283,24445,2041.666,14160.7413,-12119.0753,2.042,14.161,-12.119,-35.215
7,48.8,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,1.0,0.3,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,52645.832088957446,-47.354,-18.574,-28.78,57.594,-5.051,1137,586,551,30042414.2648,30679417.5368,321.4,-0.0113,0.8317,0,7283,25684,2007.9724,13766.8312,-11758.8588,2.008,13.767,-11.759,-35.595
0,57.4,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.0,0.0,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,52530.6263493622,-47.469,-18.574,-28.896,60.238,-4.716,2383,1262,1121,63418220.4507,64175820.015,203.8,-0.0175,0.8285,0,7283,0,3923.7024,27570.3132,-23646.6107,3.924,27.57,-23.647,-23.822
6,48.6,50,0.70,0.05,1,0.85,1.5,0.5,True,0.5,20,15,3,40,14,0.005,1.0,14,100,3,200,1800,500,0.80,0.5,0.1,0.5,2.0,0.6,0.3,0.30,0.65,8,0.60,0.80,744.0,44512,100000.0,52386.49897522818,-47.614,-18.574,-29.04,57.948,-5.067,1114,567,547,29495269.5588,30167818.0243,306.7,-0.0033,0.833,0,7283,25684,1960.5436,13780.8482,-11820.3046,1.961,13.781,-11.82,-35.794
