_label,_elapsed,p_spread_bps,p_pool_price_weight,p_anchor_ema_alpha,p_order_safe_ratio,p_enable_asymmetric_spread,p_skew_sensitivity,p_min_spread_bps,p_outer_capital_fraction,p_outer_spread_mult,p_outer_range_mult,p_outer_recenter_trigger_pct,p_concentration,p_min_concentration,p_max_concentration,p_natr_period,p_natr_baseline,p_natr_range_scale,p_adx_period,p_hurst_min_candles,p_hmm_n_states,p_hmm_min_candles,p_hmm_refit_interval_sec,p_hmm_window,p_hmm_confidence_threshold,p_hmm_use_fill_asymmetry,p_trend_sensitivity,p_range_ema_alpha,p_range_update_dead_band_pct,p_trend_order_scale_factor,p_trend_halt_threshold,p_toxicity_window_sec,p_toxicity_window_fills,p_toxicity_activation_count,p_toxicity_buy_ratio_soft,p_toxicity_buy_ratio_hard,p_toxicity_sell_ratio_soft,p_toxicity_sell_ratio_hard,p_toxicity_soft_spread_mult,p_toxicity_hard_spread_mult,p_toxicity_soft_size_mult,p_toxicity_hard_size_mult,p_inventory_skew_soft_limit,p_inventory_skew_hard_limit,p_inventory_soft_size_mult,p_inventory_hard_size_mult,p_inventory_soft_spread_mult,p_inventory_hard_spread_mult,p_inventory_hard_disable_accumulation_side,p_enable_flair_monitor,p_flair_markout_sec,p_flair_window_sec,p_flair_fee_bps,p_enable_hedge,p_hedge_size_cap_pct,p_hedge_taker_fee_bps,p_hedge_funding_rate_per_hr,duration_hours,candles,initial_value,final_value,total_return_pct,hold_return_pct,excess_return_pct,max_drawdown_pct,sharpe,total_fills,buy_fills,sell_fills,buy_volume,sell_volume,avg_spread_bps,avg_inv_skew,max_abs_inv_skew,recenters,range_changes,trend_halts
sprd=130 conc=30,602.1,130,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,130791.7081651543,-19.513,-28.0,8.487,36.139,-1.655,1396,671,725,3560373.573,3582216.5271,158.8,0.149,0.7127,0,7347,0
sprd=130 conc=20,598.1,130,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,20,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,127845.39834168646,-21.326,-28.0,6.674,37.956,-1.801,1982,982,1000,8045499.6297,8072977.8604,103.5,0.1185,0.4749,0,9710,0
sprd=100 conc=30,846.7,100,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,126107.36416826026,-22.395,-28.0,5.605,38.194,-1.957,2602,1253,1349,5088070.5705,5108496.7133,128.7,0.1438,0.7036,0,7347,0
sprd=130 conc=5,601.1,130,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,5,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,124195.02864914988,-23.572,-28.0,4.428,38.159,-1.97,1028,623,405,7649083.1603,7720292.4339,261.2,-0.0444,0.9158,67,1365,0
sprd=130 conc=8,598.9,130,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,8,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,133964.02586694283,-17.561,-28.0,10.439,29.925,-1.975,1438,768,670,10646236.9498,10743692.9683,167.0,0.0565,0.7549,1,3494,0
sprd=100 conc=5,836.7,100,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,5,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,119048.8362944873,-26.739,-28.0,1.261,38.611,-2.108,1692,1075,617,10511744.4868,10594982.4322,226.4,-0.0475,0.994,67,1365,0
sprd=100 conc=20,837.6,100,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,20,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,121801.16431049506,-25.045,-28.0,2.955,40.488,-2.175,3398,1698,1700,10512987.9326,10533486.7152,90.1,0.1171,0.4659,0,9710,0
sprd=130 conc=12,648.7,130,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,12,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,120456.10452395484,-25.873,-28.0,2.127,40.314,-2.303,1809,1109,700,9635614.3429,9670587.2402,129.8,0.0956,0.5762,0,5943,0
sprd=70 conc=30,833.8,70,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,120600.08884976778,-25.785,-28.0,2.215,40.379,-2.314,5520,2685,2835,7459551.3157,7479927.9587,98.7,0.1428,0.7133,0,7347,0
sprd=55 conc=30,848.7,55,0.70,0.05,0.5,True,0.5,20,0.30,2.5,2.5,0.50,30,3,20,14,0.005,1.0,14,999999,3,999999,1800,500,0.80,False,0.5,0.1,0.5,0.0,0.0,300,20,8,0.65,0.80,0.65,0.80,1.30,1.80,0.70,0.40,0.60,0.80,0.60,0.20,1.30,1.80,True,True,30,1800,10,False,0.30,5,0.0001,1392.0,83520,162500.0,114820.42601151252,-29.341,-28.0,-1.341,42.863,-2.684,8489,4149,4340,8884585.7652,8905719.0032,86.8,0.1421,0.6658,0,7347,0
